id,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
32,FDW23,5.765,Low Fat,0.0824762,Baking Goods,38.8164,OUT017,2007,Medium,Tier 2,Supermarket Type1,239.441
33,FDW23,5.765,Low Fat,0.0823464,Baking Goods,38.8164,OUT018,2009,Medium,Tier 3,Supermarket Type2,237.203
34,FDQ36,5.765,Regular,0.160765,Baking Goods,39.0848,OUT027,1985,Medium,Tier 3,Supermarket Type3,243.117
35,FDQ36,7.855,Regular,0.162461,Baking Goods,39.2848,OUT017,2007,Medium,Tier 2,Supermarket Type1,857.55
36,FDM60,10.8,Regular,0.0,Baking Goods,39.3138,OUT013,1987,High,Tier 3,Supermarket Type1,1015.34
37,FDM60,10.8,Regular,0.080582,Baking Goods,39.4138,OUT010,1998,Medium,Tier 3,Grocery Store,451.209
38,FDM60,10.8,Regular,0.0479102,Baking Goods,39.8138,OUT027,1985,Medium,Tier 3,Supermarket Type3,831.01
39,FDR36,6.715,Regular,0.121586,Baking Goods,40.0454,OUT046,1997,Small,Tier 1,Supermarket Type1,285.039
40,FDW23,5.765,Low Fat,0.0819968,Baking Goods,40.1164,OUT035,2004,Small,Tier 2,Supermarket Type1,540.63
41,FDM60,10.8,Regular,0.0481433,Baking Goods,40.2138,OUT046,1997,Small,Tier 1,Supermarket Type1,690.435
42,FDR36,6.715,Regular,0.121485,Baking Goods,40.2454,OUT013,1987,High,Tier 3,Supermarket Type1,587.236
43,FDM60,10.8,Regular,0.0481342,Baking Goods,40.3138,OUT035,2004,Small,Tier 2,Supermarket Type1,461.512
44,FDR36,6.715,reg,0.122274,Baking Goods,40.3454,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908
45,FDM60,10.8,Regular,0.0842927,Baking Goods,40.6138,OUT019,1985,Small,Tier 1,Grocery Store,481.819
46,FDM60,10.8,Regular,0.0,Baking Goods,40.7138,OUT017,2007,Medium,Tier 2,Supermarket Type1,406.138
47,FDM60,10.8,Regular,0.0482409,Baking Goods,41.0138,OUT045,2002,Small,Tier 2,Supermarket Type1,469.526
48,FDR36,6.715,Regular,0.203511,Baking Goods,41.0454,OUT010,1998,Medium,Tier 3,Grocery Store,251.672
49,FDM60,10.8,Regular,0.0483394,Baking Goods,41.5138,OUT018,2009,Medium,Tier 3,Supermarket Type2,446.752
50,FDM60,10.8,Regular,0.0482181,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.435
51,FDR36,6.715,Regular,0.121775,Baking Goods,43.0454,OUT049,1999,Medium,Tier 1,Supermarket Type1,303.502
52,FDO60,20.0,Low Fat,0.0575275,Baking Goods,43.1086,OUT010,1998,Medium,Tier 3,Grocery Store,89.2172
53,FDO60,20.0,Low Fat,0.0342031,Baking Goods,43.3086,OUT027,1985,Medium,Tier 3,Supermarket Type3,624.52
54,FDO60,20.0,Low Fat,0.0,Baking Goods,43.4086,OUT018,2009,Medium,Tier 3,Supermarket Type2,401.477
55,FDO60,20.0,Low Fat,0.034363,Baking Goods,43.5086,OUT035,2004,Small,Tier 2,Supermarket Type1,401.477
56,FDR36,6.715,Regular,0.121833,Baking Goods,43.5454,OUT045,2002,Small,Tier 2,Supermarket Type1,838.908
57,FDR36,6.715,Regular,0.120998,Baking Goods,43.6454,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.713
58,FDK24,9.195,Low Fat,0.0,Baking Goods,43.6744,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.47
59,FDO60,20.0,Low Fat,0.0343695,Baking Goods,43.7086,OUT046,1997,Small,Tier 1,Supermarket Type1,892.172
60,FDR36,6.715,Regular,0.121563,Baking Goods,43.7454,OUT035,2004,Small,Tier 2,Supermarket Type1,545.29
61,FDR36,6.715,Regular,0.122082,Baking Goods,43.8454,OUT018,2009,Medium,Tier 3,Supermarket Type2,320.92
62,FDO60,20.0,Low Fat,0.034423,Baking Goods,44.4086,OUT049,1999,Medium,Tier 1,Supermarket Type1,976.989
63,FDK24,9.195,Low Fat,0.101211,Baking Goods,44.4744,OUT013,1987,High,Tier 3,Supermarket Type1,433.479
64,FDO60,20.0,Low Fat,0.0344392,Baking Goods,45.1086,OUT045,2002,Small,Tier 2,Supermarket Type1,965.324
65,FDK24,9.195,Low Fat,0.1015,Baking Goods,45.2744,OUT045,2002,Small,Tier 2,Supermarket Type1,679.116
66,FDO60,20.0,LF,0.0345639,Baking Goods,45.3086,OUT017,2007,Medium,Tier 2,Supermarket Type1,490.695
67,FDO60,20.0,Low Fat,0.0343409,Baking Goods,45.4086,OUT013,1987,High,Tier 3,Supermarket Type1,981.389
68,FDK24,20.0,Low Fat,0.100804,Baking Goods,45.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,1041.31
69,FDK24,9.195,Low Fat,0.0,Baking Goods,45.6744,OUT049,1999,Medium,Tier 1,Supermarket Type1,445.175
70,FDK24,9.195,Low Fat,0.101295,Baking Goods,46.2744,OUT046,1997,Small,Tier 1,Supermarket Type1,1086.59
71,FDK24,9.195,Low Fat,0.101868,Baking Goods,46.4744,OUT017,2007,Medium,Tier 2,Supermarket Type1,461.519
72,FDK24,9.195,Low Fat,0.101276,Baking Goods,46.4744,OUT035,2004,Small,Tier 2,Supermarket Type1,950.762
73,FDK24,20.0,Low Fat,0.177354,Baking Goods,46.6744,OUT019,1985,Small,Tier 1,Grocery Store,135.823
74,FDL48,20.0,Regular,0.081868,Baking Goods,46.8034,OUT027,1985,Medium,Tier 3,Supermarket Type3,1069.27
75,FDL48,19.35,Regular,0.137697,Baking Goods,47.1034,OUT010,1998,Medium,Tier 3,Grocery Store,145.81
76,FDK36,20.0,Low Fat,0.00718037,Baking Goods,47.4034,OUT027,1985,Medium,Tier 3,Supermarket Type3,631.844
77,FDW24,6.8,Low Fat,0.0374658,Baking Goods,47.5034,OUT013,1987,High,Tier 3,Supermarket Type1,534.637
78,FDK36,7.09,Low Fat,0.00721531,Baking Goods,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1458.1
79,FDK36,7.09,Low Fat,0.00721395,Baking Goods,47.9034,OUT035,2004,Small,Tier 2,Supermarket Type1,583.241
80,FDK36,7.09,LF,0.00720931,Baking Goods,48.1034,OUT013,1987,High,Tier 3,Supermarket Type1,1069.27
81,FDK36,7.09,Low Fat,0.00722995,Baking Goods,48.3034,OUT045,2002,Small,Tier 2,Supermarket Type1,359.595
82,FDL48,19.35,Regular,0.0823943,Baking Goods,48.5034,OUT049,1999,Medium,Tier 1,Supermarket Type1,243.017
83,FDP36,10.395,Regular,0.0911724,Baking Goods,48.6008,OUT046,1997,Small,Tier 1,Supermarket Type1,545.622
84,FDW24,6.8,Low Fat,0.03749,Baking Goods,48.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,291.62
85,FDK36,7.09,Low Fat,0.012077,Baking Goods,48.6034,OUT010,1998,Medium,Tier 3,Grocery Store,375.612
86,FDL48,19.35,Regular,0.0822509,Baking Goods,48.7034,OUT035,2004,Small,Tier 2,Supermarket Type1,534.637
87,FDL48,19.35,Regular,0.0822664,Baking Goods,48.8034,OUT046,1997,Small,Tier 1,Supermarket Type1,340.224
88,FDW24,10.395,Low Fat,0.0656525,Baking Goods,48.9034,OUT019,1985,Small,Tier 1,Grocery Store,48.6034
89,FDP36,10.395,Regular,0.0916881,Baking Goods,49.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,860.214
90,FDK36,7.09,Low Fat,0.0,Baking Goods,49.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,365.55
91,FDY12,9.8,Regular,0.0,Baking Goods,49.2008,OUT013,1987,High,Tier 3,Supermarket Type1,657.81
92,FDL48,19.35,Regular,0.082198,Baking Goods,49.2034,OUT013,1987,High,Tier 3,Supermarket Type1,729.051
93,FDL48,19.35,reg,0.0827318,Baking Goods,49.2034,OUT017,2007,Medium,Tier 2,Supermarket Type1,777.654
94,FDK36,7.09,Low Fat,0.00722653,Baking Goods,49.3034,OUT049,1999,Medium,Tier 1,Supermarket Type1,381.022
95,FDW24,6.8,Low Fat,0.0376498,Baking Goods,49.5034,OUT018,2009,Medium,Tier 3,Supermarket Type2,366.919
96,FDP36,10.395,Regular,0.0,Baking Goods,49.6008,OUT049,1999,Medium,Tier 1,Supermarket Type1,546.536
97,FDW24,6.8,Low Fat,0.0375553,Baking Goods,49.6034,OUT049,1999,Medium,Tier 1,Supermarket Type1,972.068
98,FDI48,11.85,Regular,0.0557184,Baking Goods,49.6666,OUT046,1997,Small,Tier 1,Supermarket Type1,635.633
99,FDW24,6.8,Low Fat,0.0377091,Baking Goods,49.7034,OUT017,2007,Medium,Tier 2,Supermarket Type1,365.022
100,FDL48,19.35,Regular,0.0824333,Baking Goods,49.7034,OUT045,2002,Small,Tier 2,Supermarket Type1,1057.94
101,FDY12,9.8,Regular,0.140611,Baking Goods,49.8008,OUT046,1997,Small,Tier 1,Supermarket Type1,809.613
102,FDW24,6.8,Low Fat,0.0374971,Baking Goods,49.9034,OUT046,1997,Small,Tier 1,Supermarket Type1,194.414
103,FDY12,9.8,Regular,0.141406,Baking Goods,50.0008,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.008
104,FDW24,10.395,low fat,0.0373155,Baking Goods,50.0034,OUT027,1985,Medium,Tier 3,Supermarket Type3,1992.74
105,FDP36,10.395,Regular,0.0913573,Baking Goods,50.1008,OUT045,2002,Small,Tier 2,Supermarket Type1,546.838
106,FDL48,19.35,Regular,0.0826015,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,1047.06
107,FDY12,9.8,Regular,0.140896,Baking Goods,50.2008,OUT045,2002,Small,Tier 2,Supermarket Type1,541.165
108,FDW24,6.8,Low Fat,0.0375731,Baking Goods,50.2034,OUT045,2002,Small,Tier 2,Supermarket Type1,1166.48
109,FDW24,6.8,Low Fat,0.0627624,Baking Goods,50.4034,OUT010,1998,Medium,Tier 3,Grocery Store,48.6034
110,FDK36,7.09,Low Fat,0.00725613,Baking Goods,50.4034,OUT017,2007,Medium,Tier 2,Supermarket Type1,340.224
111,FDY12,9.8,Regular,0.141184,Baking Goods,50.5008,OUT018,2009,Medium,Tier 3,Supermarket Type2,253.004
112,FDY12,10.395,reg,0.13993,Baking Goods,50.5008,OUT027,1985,Medium,Tier 3,Supermarket Type3,360.9
113,FDI48,11.85,Regular,0.055672,Baking Goods,50.5666,OUT013,1987,High,Tier 3,Supermarket Type1,922.799
114,FDI48,11.85,Regular,0.0558314,Baking Goods,50.5666,OUT045,2002,Small,Tier 2,Supermarket Type1,635.167
115,FDY12,9.8,Regular,0.235354,Baking Goods,50.8008,OUT010,1998,Medium,Tier 3,Grocery Store,101.202
116,FDI48,11.85,Regular,0.0,Baking Goods,51.2666,OUT035,2004,Small,Tier 2,Supermarket Type1,410.133
117,FDP36,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.609
118,FDI48,11.85,Regular,0.0560336,Baking Goods,51.4666,OUT017,2007,Medium,Tier 2,Supermarket Type1,974.065
119,FDP36,11.85,Regular,0.0,Baking Goods,51.9008,OUT027,1985,Medium,Tier 3,Supermarket Type3,2595.04
120,FDP36,10.395,Regular,0.0911552,Baking Goods,52.2008,OUT035,2004,Small,Tier 2,Supermarket Type1,569.759
121,FDY24,4.88,Regular,0.22344,Baking Goods,52.2298,OUT010,1998,Medium,Tier 3,Grocery Store,161.789
122,FDY12,9.8,Regular,0.140584,Baking Goods,52.3008,OUT035,2004,Small,Tier 2,Supermarket Type1,538.175
123,FDP36,10.395,Regular,0.0910965,Baking Goods,52.3008,OUT013,1987,High,Tier 3,Supermarket Type1,2226.44
124,FDI48,11.85,Regular,0.0554486,Baking Goods,52.3666,OUT027,1985,Medium,Tier 3,Supermarket Type3,944.417
125,FDY24,11.85,Regular,0.233729,Baking Goods,52.4298,OUT019,1985,Small,Tier 1,Grocery Store,224.318
126,FDY12,9.8,Regular,0.14083,Baking Goods,52.5008,OUT049,1999,Medium,Tier 1,Supermarket Type1,565.959
127,FDI48,9.8,Regular,0.0975557,Baking Goods,52.7666,OUT019,1985,Small,Tier 1,Grocery Store,540.887
128,FDN24,14.1,Low Fat,0.113246,Baking Goods,52.7956,OUT035,2004,Small,Tier 2,Supermarket Type1,811.416
129,FDY24,4.88,Regular,0.133701,Baking Goods,52.9298,OUT049,1999,Medium,Tier 1,Supermarket Type1,1995.4
130,FDN24,14.1,LF,0.113173,Baking Goods,52.9956,OUT013,1987,High,Tier 3,Supermarket Type1,821.962
131,FDI48,11.85,Regular,0.055805,Baking Goods,53.0666,OUT049,1999,Medium,Tier 1,Supermarket Type1,512.666
132,FDN24,14.1,Low Fat,0.113444,Baking Goods,53.0956,OUT049,1999,Medium,Tier 1,Supermarket Type1,816.026
133,FDY24,4.88,Regular,0.0,Baking Goods,53.1298,OUT035,2004,Small,Tier 2,Supermarket Type1,808.947
134,FDI48,11.85,Regular,0.0559454,Baking Goods,53.2666,OUT018,2009,Medium,Tier 3,Supermarket Type2,669.082
135,FDY24,4.88,Regular,0.134037,Baking Goods,53.3298,OUT018,2009,Medium,Tier 3,Supermarket Type2,539.298
136,FDY24,4.88,Regular,0.133493,Baking Goods,53.3298,OUT046,1997,Small,Tier 1,Supermarket Type1,281.069
137,FDN24,14.1,low fat,0.113908,Baking Goods,53.3956,OUT017,2007,Medium,Tier 2,Supermarket Type1,982.721
138,FDN24,14.1,Low Fat,0.113729,Baking Goods,53.7956,OUT018,2009,Medium,Tier 3,Supermarket Type2,826.785
139,FDY24,4.88,Regular,0.0,Baking Goods,54.1298,OUT045,2002,Small,Tier 2,Supermarket Type1,280.003
140,FDN24,4.88,LF,0.112719,Baking Goods,54.2956,OUT027,1985,Medium,Tier 3,Supermarket Type3,1310.29
141,FDN24,4.88,Low Fat,0.198317,Baking Goods,54.3956,OUT019,1985,Small,Tier 1,Grocery Store,272.978
142,FDN24,14.1,Low Fat,0.113267,Baking Goods,54.5956,OUT046,1997,Small,Tier 1,Supermarket Type1,1037.32
143,FDY24,4.88,Regular,0.134248,Baking Goods,54.9298,OUT017,2007,Medium,Tier 2,Supermarket Type1,289.502
144,FDY24,4.88,Regular,0.133382,Baking Goods,55.0298,OUT013,1987,High,Tier 3,Supermarket Type1,647.158
145,FDY24,4.88,Regular,0.132847,Baking Goods,55.8298,OUT027,1985,Medium,Tier 3,Supermarket Type3,420.257
146,FDN24,14.1,Low Fat,0.113497,Baking Goods,56.1956,OUT045,2002,Small,Tier 2,Supermarket Type1,1364.89
147,FDL12,15.85,Regular,0.122321,Baking Goods,58.022,OUT017,2007,Medium,Tier 2,Supermarket Type1,993.221
148,FDL12,15.85,Regular,0.121532,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
149,FDL12,15.85,Regular,0.121044,Baking Goods,59.422,OUT027,1985,Medium,Tier 3,Supermarket Type3,1078.6
150,FDL12,15.85,Regular,0.122128,Baking Goods,59.522,OUT018,2009,Medium,Tier 3,Supermarket Type2,1018.9
151,FDL12,15.85,Regular,0.212963,Baking Goods,59.522,OUT019,1985,Small,Tier 1,Grocery Store,299.61
152,FDL12,15.85,Regular,0.12161,Baking Goods,60.222,OUT035,2004,Small,Tier 2,Supermarket Type1,539.298
153,FDL12,15.85,Regular,0.121633,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.65
154,FDL12,15.85,Regular,0.121822,Baking Goods,60.722,OUT049,1999,Medium,Tier 1,Supermarket Type1,1058.69
155,FDL12,15.85,Regular,0.121879,Baking Goods,61.222,OUT045,2002,Small,Tier 2,Supermarket Type1,1048.0
156,FDI60,7.22,Regular,0.0641419,Baking Goods,61.251,OUT010,1998,Medium,Tier 3,Grocery Store,126.502
157,FDL12,15.85,Regular,0.203588,Baking Goods,61.622,OUT010,1998,Medium,Tier 3,Grocery Store,1045.08
158,FDI60,7.22,Regular,0.0383212,Baking Goods,61.851,OUT046,1997,Small,Tier 1,Supermarket Type1,822.263
159,FDI60,7.22,Regular,0.0383989,Baking Goods,61.951,OUT045,2002,Small,Tier 2,Supermarket Type1,1518.02
160,FDI60,7.22,Regular,0.0383808,Baking Goods,62.351,OUT049,1999,Medium,Tier 1,Supermarket Type1,885.514
161,FDI60,7.22,Regular,0.0381356,Baking Goods,62.851,OUT027,1985,Medium,Tier 3,Supermarket Type3,1648.09
162,FDI60,7.22,Regular,0.0384773,Baking Goods,62.951,OUT018,2009,Medium,Tier 3,Supermarket Type2,1138.52
163,FDI60,7.22,Regular,0.038314,Baking Goods,63.951,OUT035,2004,Small,Tier 2,Supermarket Type1,507.899
164,FDY11,7.22,Regular,0.0294173,Baking Goods,64.1142,OUT027,1985,Medium,Tier 3,Supermarket Type3,2179.47
165,FDI60,7.22,Regular,0.0382893,Baking Goods,64.751,OUT013,1987,High,Tier 3,Supermarket Type1,126.502
166,FDI60,7.22,Regular,0.038538,Baking Goods,64.951,OUT017,2007,Medium,Tier 2,Supermarket Type1,506.462
167,FDY11,6.71,reg,0.0296809,Baking Goods,65.0142,OUT018,2009,Medium,Tier 3,Supermarket Type2,856.885
168,FDY11,6.71,Regular,0.0296064,Baking Goods,65.4142,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.03
169,FDY11,6.71,Regular,0.0295605,Baking Goods,65.8142,OUT046,1997,Small,Tier 1,Supermarket Type1,856.885
170,FDY11,6.71,Regular,0.0296204,Baking Goods,66.1142,OUT045,2002,Small,Tier 2,Supermarket Type1,487.989
171,FDY11,6.71,Regular,0.0297277,Baking Goods,66.6142,OUT017,2007,Medium,Tier 2,Supermarket Type1,1120.54
172,FDY11,6.71,Regular,0.0295359,Baking Goods,67.5142,OUT013,1987,High,Tier 3,Supermarket Type1,593.228
173,FDY11,6.71,Regular,0.0295549,Baking Goods,67.8142,OUT035,2004,Small,Tier 2,Supermarket Type1,482.335
174,FDY36,12.3,Low Fat,0.00942961,Baking Goods,71.338,OUT045,2002,Small,Tier 2,Supermarket Type1,1098.57
175,FDY36,12.3,Low Fat,0.0157513,Baking Goods,71.638,OUT010,1998,Medium,Tier 3,Grocery Store,934.016
176,FDK48,7.445,Low Fat,0.0376251,Baking Goods,73.2354,OUT035,2004,Small,Tier 2,Supermarket Type1,588.857
177,FDK48,7.445,Low Fat,0.0377855,Baking Goods,73.3354,OUT018,2009,Medium,Tier 3,Supermarket Type2,578.741
178,FDK48,7.445,Low Fat,0.0376907,Baking Goods,73.3354,OUT049,1999,Medium,Tier 1,Supermarket Type1,451.412
179,FDY36,12.3,Low Fat,0.00941053,Baking Goods,73.738,OUT046,1997,Small,Tier 1,Supermarket Type1,1318.28
180,FDY36,12.3,Low Fat,0.00946376,Baking Goods,73.838,OUT017,2007,Medium,Tier 2,Supermarket Type1,1245.05
181,FDY36,12.3,Low Fat,0.0094027,Baking Goods,74.138,OUT013,1987,High,Tier 3,Supermarket Type1,984.849
182,FDY36,12.3,Low Fat,0.00936496,Baking Goods,74.238,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.81
183,FDY36,12.3,Low Fat,0.0164766,Baking Goods,74.338,OUT019,1985,Small,Tier 1,Grocery Store,146.476
184,FDY36,12.3,Low Fat,0.00944886,Baking Goods,74.538,OUT018,2009,Medium,Tier 3,Supermarket Type2,999.331
185,FDK48,7.445,Low Fat,0.0377085,Baking Goods,74.7354,OUT045,2002,Small,Tier 2,Supermarket Type1,1128.53
186,FDY36,12.3,Low Fat,0.00940875,Baking Goods,74.838,OUT035,2004,Small,Tier 2,Supermarket Type1,966.533
187,FDY36,12.3,Low Fat,0.00942516,Baking Goods,74.838,OUT049,1999,Medium,Tier 1,Supermarket Type1,1538.0
188,FDK48,7.445,Low Fat,0.0378451,Baking Goods,75.5354,OUT017,2007,Medium,Tier 2,Supermarket Type1,1956.12
189,FDT24,12.35,Regular,0.186911,Baking Goods,75.6328,OUT017,2007,Medium,Tier 2,Supermarket Type1,1027.47
190,FDR60,14.3,Low Fat,0.130307,Baking Goods,75.7328,OUT013,1987,High,Tier 3,Supermarket Type1,617.862
191,FDR60,14.3,Low Fat,0.130415,Baking Goods,75.9328,OUT046,1997,Small,Tier 1,Supermarket Type1,1158.49
192,FDT24,14.3,Regular,0.0,Baking Goods,75.9328,OUT027,1985,Medium,Tier 3,Supermarket Type3,3012.08
193,FDK48,7.445,Low Fat,0.0629886,Baking Goods,76.1354,OUT010,1998,Medium,Tier 3,Grocery Store,617.843
194,FDT24,12.35,Regular,0.0,Baking Goods,76.2328,OUT046,1997,Small,Tier 1,Supermarket Type1,1544.66
195,FDR60,14.3,LF,0.130618,Baking Goods,76.5328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1203.86
196,FDR60,14.3,Low Fat,0.130946,Baking Goods,76.7328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1312.96
197,FDK48,14.3,Low Fat,0.03745,Baking Goods,76.7354,OUT027,1985,Medium,Tier 3,Supermarket Type3,2783.71
198,FDK48,7.445,low fat,0.0,Baking Goods,76.8354,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.83
199,FDV48,12.35,Regular,0.0513669,Baking Goods,77.0644,OUT027,1985,Medium,Tier 3,Supermarket Type3,3221.14
200,FDT24,12.35,Regular,0.185705,Baking Goods,77.1328,OUT013,1987,High,Tier 3,Supermarket Type1,2239.75
201,FDR60,14.3,Low Fat,0.13039,Baking Goods,77.2328,OUT035,2004,Small,Tier 2,Supermarket Type1,231.698
202,FDK48,7.445,Low Fat,0.0,Baking Goods,77.2354,OUT013,1987,High,Tier 3,Supermarket Type1,609.519
203,FDV48,9.195,Regular,0.0518271,Baking Goods,77.4644,OUT018,2009,Medium,Tier 3,Supermarket Type2,1414.16
204,FDV48,9.195,Regular,0.0516071,Baking Goods,77.8644,OUT035,2004,Small,Tier 2,Supermarket Type1,758.921
205,FDX60,14.35,Low Fat,0.0805789,Baking Goods,77.996,OUT035,2004,Small,Tier 2,Supermarket Type1,1175.2
206,FDX60,12.35,LF,0.0802039,Baking Goods,77.996,OUT027,1985,Medium,Tier 3,Supermarket Type3,2716.46
207,FDV48,9.195,Regular,0.0519088,Baking Goods,78.1644,OUT017,2007,Medium,Tier 2,Supermarket Type1,1414.16
208,FDT24,12.35,reg,0.186148,Baking Goods,78.2328,OUT049,1999,Medium,Tier 1,Supermarket Type1,1158.49
209,FDR60,12.35,Low Fat,0.129784,Baking Goods,78.2328,OUT027,1985,Medium,Tier 3,Supermarket Type3,1004.03
210,FDV48,9.195,Regular,0.0,Baking Goods,78.2644,OUT045,2002,Small,Tier 2,Supermarket Type1,762.82
211,FDR60,14.3,Low Fat,0.13068,Baking Goods,78.4328,OUT045,2002,Small,Tier 2,Supermarket Type1,1211.32
212,FDT24,12.35,Regular,0.185824,Baking Goods,78.5328,OUT035,2004,Small,Tier 2,Supermarket Type1,695.095
213,FDW48,18.0,Low Fat,0.00853372,Baking Goods,78.5618,OUT013,1987,High,Tier 3,Supermarket Type1,402.809
214,FDT24,12.35,Regular,0.186616,Baking Goods,78.6328,OUT018,2009,Medium,Tier 3,Supermarket Type2,1004.03
215,FDR60,14.3,Low Fat,0.131153,Baking Goods,78.6328,OUT017,2007,Medium,Tier 2,Supermarket Type1,231.698
216,FDT24,12.35,Regular,0.186236,Baking Goods,78.7328,OUT045,2002,Small,Tier 2,Supermarket Type1,1390.19
217,FDW48,18.0,Low Fat,0.00854082,Baking Goods,78.9618,OUT046,1997,Small,Tier 1,Supermarket Type1,1549.23
